Badanie;Placówka;Cena
WYKRYWANIE DNA UREAPLASMA PARVUM/ UREAPLASMA UREALYTICUM METODĄ REAL TIME - PCR, JAKOŚCIOWO;Lesko, ul. Parkowa 10;122.0
GLUKOZA W DOBOWEJ ZBIÓRCE MOCZU (A15);Warszawa, ul. Żeromskiego 55/67;18.0
MLEKO GOTOWANE UHT(F231) - IGE SWOISTE (L91);Siedlce, ul. Aleksandrowska 4;61.0
WYKRYWANIE DNA GIARDIA LAMBLIA;Łódź, ul. Felińskiego 7;501.0
P/C PRZECIW JEDNONICIOWEMU DNA (SSDNA) (N77);Gdańsk, ul. Świętokrzyska 25;56.0
TESTOSTERON WOLNY (O41);Leżajsk, ul. Rynek 14;86.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - EHRLICHIA MET. ELISPOT;Kartuzy, ul. Jeziorna 6;636.0
KRĄŻĄCE KOMPLEKSY IMMUNOLOGICZNE (KKI) ANTY BORRELIA BURGDORFERI IGG MET. IMMUNOBLOT;Warszawa, ul. Kuflewska 6;313.0
AMFETAMINA W MOCZU TEST PÓŁILOŚCIOWY;Warszawa, ul. Kopernika 43;41.0
HEMOPIROLLAKTAM (HPL) W MOCZU;Koło, ul. Ks. Józefa Poniatowskiego 25;200.0
BRUCELLA P/C IG M (S43);Łódź, ul. Armii Krajowej 33 B;169.0
BADANIE GENETYCZNE W KIERUNKU WIRUSÓW GRYPY A, B I RSV– SZYBKI TEST METODĄ REAL TIME-PCR.;Białystok, ul. 42 Pułku Piechoty 74A;412.0
TRÓJCYKLICZNE ANTYDEPRESANTY  TCA (R05);Łódź, ul. Sierakowskiego 67A;161.0
INDYK (F284) - IGE SWOISTE (L91);Limanowa, ul. Kościuszki 9;53.0
ESTRON (E1);Limanowa, ul. Kościuszki 9;117.0
GENETYCZNY PANEL DIAGNOSTYCZNY – NEUROLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Gorzów Wielkopolski, ul. Kosynierów Gdyńskich 50F;3990.0
ETOSUKSYMID (T23);Skarżysko-Kamienna, ul. Klonowa 11;139.0
OŁÓW W MOCZU (P71);Warszawa, ul. Kłobucka 6c;103.0
LAMOTRYGINA;Pisz, ul. Sienkiewicza 4/39;208.0
C3 SKŁADNIK DOPEŁNIACZA (K75);Głogów Małopolski, ul. W. Sławka 2;61.0
RAPAMYCYNA;Kolbuszowa, ul. Obrońców Pokoju 8;272.0
NAWRACAJĄCE PORONIENIA - IDENTYFIKACJA HAPLOTYPU M2 W PROMOTORZE GENU ANXA5;Kraków, ul. Kościuszki 73;462.0
ASO (TEST ILOŚCIOWY) (U75);Warszawa, al. Komisji Edukacji Narodowej 98;48.0
METHADON (P57);Rzeszów, ul. Witolda 6c;266.0
P/C PRZECIW MITOCHONDRIALNE PODKLASY M2, M4, M9 (O05);Otwock, ul. Batorego 44;217.0
PANEL ALERGENÓW WZIEWNYCH II - 10 ALERGENÓW METODĄ POLYCHECK;Gdynia, ul. Obrońców Wybrzeża 11;128.0
RBET V2, RBET V4 (T221) IGE SWOISTE (L91);Warzymice, ul. Warzymice 44;61.0
P/C PRZECIW DROŻDŻOM PIEKARSKIM (SACCHAROMYCES CEREVISIAE, ASCA) (PAKIET ASCA W KLASIE: IGA I IGG);Ostróda, ul. Grunwaldzka 2/27;211.0
DEBUTYLODRONEDARON;Wałbrzych, ul. Jana Pawła II 3G;200.0
ESTRADIOL (E2) (K99);Gorzów Wielkopolski, ul. PIŁSUDSKIEGO 1B;41.0
SZCZYPIOREK (FS12) - IGE SWOISTE (L91);Sanok, ul. Sadowa 11a;62.0
OMEGA 3;Świdnica, ul. Kazimierza Wielkiego 5;339.0
MIDAZOLAM;Rzeszów, ul. Strzelnicza 12E/1;201.0
RACT D PR-10 KIWI (F-430) IGE SWOISTE (L91);Rzeszów, ul. Dominikańska 1B;63.0
KWAS MOCZOWY W MOCZU (M45);Gorzów Wielkopolski, ul. PIŁSUDSKIEGO 1B;21.0
GRYPA - POZIOM P/C W KIERUNKU 3 SZCZEPÓW WIRUSA GRYPY TYPU/PODTYPU A(H1N1), A(H3N2) I B;Ełk, ul. Tuwima 20 lok U7;587.0
FLORA BAKTERYJNA JELIT;Płock, ul. Miodowa 1;608.0
GENETYCZNY PANEL DIAGNOSTYCZNY - KARDIOLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Toruń, ul. Watzenrodego 15A;3990.0
WYKRYWANIE DNA CHLAMYDOPHILA PNEUMONIAE ORAZ MYCOPLASMA PNEUMONIAE METODĄ MULTIPLEKS REAL TIME-PCR;Swarzędz, ul. Czwartaków 24B;98.0
EX4 MIESZANKA ALERGENÓW;Knurów, ul. Szpitalna 25A;69.0
INSULINA LUDZKA (C73) - IGE SWOISTE (L91);Łódź, ul. Przybyszewskiego 161A;61.0
HALOPERIDOL - BADANIE JAKOŚCIOWE W MOCZU;Legnica, ul. Wrocławska 27;138.0
N-DEMETYLOOLANZAPINA;Poznań, ul. Dąbrowskiego 89;210.0
PIÓRA KANARKA (E201) - IGE SWOISTE (L91);Toruń, ul. Szosa Lubicka 11;61.0
LEIDEN (GEN F5) – BADANIE OBECNOŚCI MUTACJI C.1601G>A  (TYPU LEIDEN) W GENIE CZYNNIKA V KRZEPNIĘCIA KRWI W GENIE F5 (ZABURZENIA KRZEPNIĘCIA) METODĄ REAL-TIME PCR;Częstochowa, ul. Brzozowa 7 lok 2;244.0
OPIATE OP300;Biskupiec, ul. Zygmunta Krasińskiego 1A;41.0
GENETYCZNY PANEL DIAGNOSTYCZNY - HEMATOLOGIA, METODA NGS (BADANIE Z KONSULTACJĄ);Bełżyce, ul. Lubelska 90;3990.0
DIGOKSYNA (T17);Siemiatycze, ul. Szpitalna 8;162.0
MIANSERYNA;Mińsk Mazowiecki, ul. Wesoła 2A lok. U3;210.0
POSIEW ROPY - TLENOWO (91.831);Kielce, ul. Ściegiennego 5;48.0
RPHL P 1 , R PHL P 5 B TYMOTKA ŁĄKOWA (G-213) IGE SWOISTE (L91);Rzeszów, ul. Lubelska 13;63.0
BĄBLOWICA (ECHINOCOCCUS MULTILOCULARIS) - P/C EM2 (X05);Żyrardów, ul. Okrzei 8/14;400.0
ILOŚCIOWE OZNACZENIE RNA WIR. HCV METODĄ REAL TIME - PCR (V56);Kraków, ul. Kapelanka 13b;303.0
RTRI A 19 PSZENICA, OMEGA- 5 GLIADYNA (F-416) IGE SWOISTE (L91);Szczecin, ul. Kopernika 18;61.0
WITAMINA C;Warszawa, ul. Kuflewska 6;177.0
MLEKO KOZIE(F300) - IGE SWOISTE (L91);Nowy Targ, ul. Wojska Polskiego 14;61.0
WYKRYWANIE RNA WIRUSA RSV METODĄ REAL TIME PCR;Łódź, ul. Rydza Śmigłego 43A;154.0
CYKLOSPORYNA A MET. LC-MS/MS (T11);Sierpc, ul. Narutowicza 7;276.0
ELEKTROFOREZA BIAŁEK MOCZU (I79);Gołdap, ul. Słoneczna 9;143.0
HFE – BADANIE NAJCZĘSTSZYCH MUTACJI W GENIE HFE: P.C282Y, P.H63D, ORAZ P.S65C (HEMOCHROMATOZA) METODĄ MIKROMACIERZY;Kartuzy, ul. Gdańska 14;621.0
BROM W SUROWICY;Warszawa, ul. Kasprzaka 29 l. U110;176.0
MIESZANKA POKARMÓW (FX7) - IGE SWOISTE (L91);Łódź, ul. Niciarniana 49;69.0
WOŁOWINA (F27) - IGE SWOISTE (L91);Warszawa, al. Komisji Edukacji Narodowej 48;61.0
WITAMINA A (RETINOL) W SUROWICY (O81);Ropczyce, ul. Grunwaldzka 21;165.0
TRAWY PÓŹNE (GX4) (L91);Lesko, ul. Parkowa 10;63.0
WYKRYWANIE MATERIAŁU GENETYCZNEGO NOROVIRUSA G1 I G2 ORAZ CLOSTRIDIUM DIFFICILE;Kraków, ul. Trybuny Ludów 25 lok U1;239.0
P/C PRZECIW HEV IGM (V64);Siedlce, ul. Aleksandrowska 4;146.0
P/C PRZECIW WŚCIEKLIŹNIE RABIES;Rypin, ul. Nowy Rynek 16 G;370.0
TOXOCARA CANIS - IGA;Pruszków, ul. Bolesława Prusa 93;155.0
STAPHYLOCOCCUS ENTEROTOKSYNA A (M-80) IGE SWOISTE (L91);Rybnik, ul. Korfantego 6;61.0
DEZYPRAMINA (T13);Gdynia, ul. Filipkowskiego 20A/U3;161.0
MOCZNIK W MOCZU ZE ZBIÓRKI DOBOWEJ (N13);Białystok, ul. Prezydenta Ryszarda Kaczorowskiego 14;21.0
WYKRYWANIE ANTYGENU NOROWIRUSA;Toruń, ul. Orląt Lwowskich 9-11;155.0
FOODPROFIL 22 IGG4;Kościerzyna, ul. Jeziorna 2B;279.0
PARAGRYPA - P/C IGM I IGG;Warszawa, ul. Nowogrodzka 84/86;256.0
TEST TRANSFORMACJI LIMFOCYTÓW (LTT) - BORRELIA MET. ELISPOT;Mierzyn, ul. Welecka 1a;848.0
IMMUNOCAP ISAC PANEL ALERGENÓW REKOMBINOWANYCH (112 KOMPONENTÓW Z 51 ALERGENÓW);Kraków, ul. Myślenicka 102;1776.0
NASKÓREK ŚWINKI MORSKIEJ (E6) - IGE SWOISTE (L91);Dębica, ul. Poddęby 6;53.0
CAŁKOWITA TRÓJJODOTYRONINA (T3) (O51);Stepnica, ul. Tęczowa 3;37.0
P/C PRZECIW MITOCHONDRIALNE AMA-M2 (O05);Łódź, ul. Odrzańska 29;83.0
KWAS METYLOMALONOWY;Tczew, ul. Zwycięstwa 13/4;230.0
P/C PRZECIW MYCOPLASMA HOMINIS I P/UREAPLASMA UREALYTICUM IGG/IGA/IGM (JAKOŚCIOWO);Wrocław, ul. Bierutowska 63;614.0
CFTR - BADANIE NAJCZĘSTSZEJ MUTACJI (F508DEL) W POPULACJI POLSKIEJ GENU CFTR METODĄ SEKWENCJONOWANIA SANGERA;Rzeszów, ul. Kwiatkowskiego 46A;361.0
ENDOTOKSYNA (LPS);Wodzisław Śląski, ul. Mendego 18;410.0
MIOGLOBINA;Tarnów, ul. Powstańców Warszawy 40;54.0
NCYN D 1 TRAWA BERMUDZKA (G-216) IGE SWOISTE (L91);Kraków, os. Szkolne 9;61.0
MONITOROWANIE TERAPII LEKAMI: TRÓJCYKLICZNE ANTYDEPRESANTY, HPLC/PDA;Warszawa, ul. Skalskiego 1 lok. U11;400.0
HEMOGLOBINA GLIKOWANA (HBA1C) (L55);Kolbuszowa, ul. Obrońców Pokoju 8;46.0
WIRUS VARICELLA ZOSTER - MET. PCR;Rabka-Zdrój, ul. Kościuszki 1D;496.0
HISTAMINA;Szczecin, ul. Szosa Polska 54A;229.0
HAV - P/C PRZECIW HAV IGM (WZW TYPU A) (V28);Wrocław, ul. Hubska 76a;92.0
TYROPHAGUS PUTRESCIENTIAE (D72) - IGE SWOISTE (L91);Łódź, ul. Rzgowska 170;61.0
SÓD W MOCZU ZE ZBIÓRKI DOBOWEJ (O35);Brzeziny, ul. Przedwiośnie 2e;27.0
HERBATA (F222) - IGE SWOISTE (L91);Toruń, ul. Watzenrodego 15A;61.0
BILIRUBINA BEZPOŚREDNIA W SUROWICY (I87);Płock, ul. Jana Pawła II 23C lok 13;23.0
WYKRYWANIE ANTYGENU GDH CLOSTRIDIOIDES DIFFICILE (S82);Warszawa, ul. Gen. Emila Fieldorfa 10;101.0
PANEL REKOMBINANTY PLEŚNIE;Poznań, ul. Wojskowa 1;244.15
TETRACYKLINA - STĘŻENIE LEKU W SUROWICY;Jelenia Góra, ul. Sygietyńskiego 15;300.0
EBV - WIRUS EPSTEINA BARR ANTYGEN VCA P/C IGM (MONONUKLEOZA) (F56);Tczew, ul. Zwycięstwa 13/4;127.0
RAPAMYCYNA MET. LC-MS/MS;Gdańsk, ul. Grunwaldzka 60;242.0
INSULINA (L97);Świdwin, ul. Gagarina 71;57.0
OZNACZENIE MIANA INHIBITORA ADAMTS-13 MET. ELISA( P/C PRZECIW METALOPROTEINAZIE ADAMTS-13);Szczecin, ul. Łukasińskiego 38B/9;1390.0
POSIEW Z GÓRNYCH DRÓG ODDECHOWYCH ROZSZERZONY (91.831);Oborniki Śląskie, ul. M.C. Skłodowskiej 31/I;64.0
IMIPRAMINA (T31);Warszawa, ul. Górskiego 6;161.0
P/C PRZECIW B2 -GLIKOPROTEINIE-1 IGG - IGM;Warszawa, ul. Cybernetyki 17 lok. U9;287.0
WYKRYWANIE DNA TOXOPLASMA GONDI METODĄ REAL TIME-PCR;Lubin, ul. 1 Maja 1B;266.0
P/C PRZECIWKO ŻÓŁTEJ FEBRZE IGM;Poznań, ul. Sczanieckiej 8B lok 101;186.0
LIPOPROTEINA A - LP(A) (M69);Modlnica, ul. Jurajska 5;90.0
WYKRYWANIE RNA PARECHOWIRUSA METODĄ REAL TIME PCR;Warszawa, ul. Wrocławska 21a;154.0
IMMUNOGLOBULINA IGD W SUROWICY (L87);Rybnik, ul. Mościckiego 4;84.0
P/C PRZECIW CV2 (CRMP5);Gdańsk, ul. Obrońców Wybrzeża 7;118.0
SELEN (O31);Kielce, ul. Żelazna 35;135.0
HBC - P/C PRZECIW HBC TOTAL (WZW TYPU B) (V31);Ruda Śląska, ul. Radoszowska 164;93.0
ZIARNO SEZAMU(F10) - IGE SWOISTE (L91);Myszków, ul. Pułaskiego 26;61.0
ALBENDAZOL (ZENTEL);Gdańsk, ul. Kartuska 4/6;206.0
BILIRUBINA CAŁKOWITA (I89);Koluszki, ul. Sikorskiego 12;15.0
P/C PRZECIW FIBRYLARYNIE SCL-34;Radomsko, ul. Reymonta 46;161.0
LEPTOSPIROZA - P/C IGM (U25);Nowy Dwór Mazowiecki, ul. Wojska Polskiego 45a/48;228.0
ŻYCICA TRWAŁA (G5) - IGE SWOISTE (L91);Iłża, ul. Danuty Siedzikówny 4;57.0
KRZTUSIEC - P/C IGA (BORDETELLA PERTUSSIS) (S05);Warszawa, ul. Piękna 15;110.0
P/C PRZECIW KORZE NADNERCZY (N63) (N63);Świecie, ul. Wojska Polskiego 80;209.0
KREWETKA (F24) - IGE SWOISTE (L91);Staszów, ul. Krakowska 49;51.0
PORFIRYNY METODĄ ILOŚCIOWĄ (N41);Radom, ul. Lekarska 2a;525.0
"BADANIE PRZESIEWOWE 5 MUTACJI: CHEK2 (110ODELC; IVS+1 G>A; DEL5395); PALB2 (C.509 510DELGA; C.172_175DELTTGT)";Warszawa, ul. Kopernika 43;760.0
KIR – BADANIE GENOTYPU KIR – (NIEPŁODNOŚĆ IMMUNOLOGICZNA, PORONIENIA, ZABURZENIA IMPLANTACJI) METODĄ PCR SSP;Ostrowiec Świętokrzyski, ul. 11 Listopada 3G;590.0
P/C PRZECIW CANDIDA ALBICANS KLASY IGA (W23);Komorniki, ul. Malinowskiego 9;210.0
WIECHLINA ŁĄKOWA (G8) - IGE SWOISTE (L91);Gdańsk, ul. Grunwaldzka 60;61.0
P/C PRZECIW ASPERGILLUS (W09);Jawor, ul. Chrobrego 26 lok 1A;103.0
KINAZA KREATYNOWA-IZOENZYM SERCOWY (CK-MB) MASA (M19);Jelenia Góra, ul. Moniuszki 5a;54.0
NGLIADYN PSZENICA , GLIADYNA (F-98) IGE SWOISTE (L91);Leszno, ul. Niepodległości 49;61.0
ALKALOIDY TROPANOWE - BADANIE JAKOŚCIOWE W MOCZU;Poznań, ul. Sczanieckiej 8B lok 101;161.0
OZNACZENIE OBECNOŚCI MRNA ONKOGENÓW E6/E7 WIRUSA HPV (16,18,31,33 I 45);Radom, ul. Lekarska 2a;670.0
GRAPEFRUIT (F209) - IGE SWOISTE (L91);Białystok, ul. 42 Pułku Piechoty 74A;57.0
WYKRYWANIE DNA CHLAMYDIA TRACHOMATIS, MYCOPLASMA HOMINIS, MYCOPLASMA GENITALIUM, UREAPLASMA SP. ORAZ WYKRYWANIE DNA WIRUSA HPV;Szczecin, ul. Milczańska 7K;316.0
ZOLPIDEM;Sulechów, ul. Styczniowa 33;200.0
BARBITURANY W MOCZU (P13);Koło, ul. Ks. Józefa Poniatowskiego 25;62.0
GLUKURONID ETYLU WE WŁOSACH MET. LC-MS;Siedlce, ul. Sienkiewicza 11;858.0
SALICYLANY W MOCZU (P91);Warszawa, ul. Bukowińska 22B;113.0
ATENOLOL;Łódź, ul. Pasjonistów 15;161.0
PROINSULINA (N57);Krosno, ul. Lniarska 12;238.0
ALERGEN BRZOSKWINII PRU P 7 - TEST IMMUNOCAP;Ropczyce, ul. Grunwaldzka 21;78.85
WYKRYWANIE DNA ASPERGILLUS FUMIGATUS METODĄ REAL TIME-PCR;Choszczno, ul. Jagiełły 16B/1;253.0
MORSZCZUK (F307) - IGE SWOISTE (L91);Lubin, ul. 1 Maja 1B;69.0
SARS-COV-2 ANTIGEN;Dębica, ul. Poddęby 6;134.0
PANEL ALERGENÓW WZIEWNYCH - 20 ALERGENÓW METODĄ POLYCHECK (L91);Iława, ul. Andersa 2C/IV;239.0
KAKAO (F93) - IGE SWOISTE (L91);Kartuzy, ul. Gdańska 14;62.0
NOLE E 7 LTP OLIWKA (T-227) IGE SWOISTE (L91);Poznań, ul. Marcelińska 98/303;61.0
KLOMIPRAMINA (T35);Białystok, ul. Łąkowa 9;147.0
PARATHORMON (PTHI);Malbork, ul. Konopnickiej 14;66.0
NCUP A 1 CYPRYS (T-226) IGE SWOISTE (L91);Ełk, ul. Kościuszki 1;61.0
TEST PRENATALNY HARMONY – BADANIE TRISOMIA CHR.: 21, 18 ORAZ 13 (ZESPÓŁ: DOWNA, EDWARDSA, PATAU) OKREŚLENIE PŁCI DZIECKA (XX/XY) METODĄ MIKROMACIERZY;Stepnica, ul. Tęczowa 3;2000.0
N-DEMETYLOSERTRALINA;Mszana Dolna, ul. Starowiejska 2;210.0
BENZODIAZEPINY W SUROWICY (P79);Mielec, ul. Skłodowskiej 8A;48.0
SKRYNING LEKÓW;Borki, ul. Elektrowniana 24;691.0
SKRYNING SUBSTANCJI PSYCHOAKTYWNYCH (108 ZWIĄZKÓW);Szczecin, ul. Hrubieszowska 22A;361.0
KOENZYM Q10;Białystok, ul. Prezydenta Ryszarda Kaczorowskiego 14;197.0
SUXAMETHONIUM (C202) - IGE SWOISTE (L91);Pabianice, ul. Kilińskiego 10/12;69.0
LSD - TEST NARKOTYCZNY;Drzewica, ul. Stawowa 27;158.0
P/C PRZECIW HEV IGG (V63);Pruszków, ul. Bolesława Prusa 93;138.0
METYLOFENIDAT;Września, ul. Opieszyn 2;210.0
P/C PRZECIW MIĘŚNIOM GŁADKIM (ASMA) (N91);Ełk, ul. Tuwima 20 lok U7;111.0
CHLORKI W MOCZU (I97);Warszawa, ul. Samolotowa 9a;22.0
MIESZANKA TRAW (GX2) - IGE SWOISTE (L91);Warszawa, ul. Opaczewska 43 lok. 18;69.0
ZOPIKLON - BADANIE JAKOŚCIOWE W MOCZU;Police, ul. Piłsudskiego 6/7;138.0
WOLNA TRIJODOTYRONINA (FT3) (O55);Biskupiec Pomorski, ul. Lipowa 7;39.0
NORDIAZEPAM;Iława, ul. Andersa 2C/IV;210.0
KAŁAMARNICA (F258) - IGE SWOISTE (L91);Łódź, ul. Wysoka 10/14;69.0
P/C PRZECIW KOMÓRKOM ŚLINIANEK;Bydgoszcz, ul. Szafirowa 14;96.0
AMITRYPTYLINA (T05);Poznań, os. Piastowskie 58;161.0
PANEL ODDECHOWY. WYKRYWANIE MATERIAŁU GENETYCZNEGO 21 PATOGENÓW DRÓG ODDECHOWYCH METODĄ REAL TIME-PCR;Olsztyn, ul. Barcza 58 lok U10;479.0
FX6 WARZYWA;Starachowice, ul. Konstytucji 3 Maja 18A;77.0
KRZTUSIEC - P/C IGM (BORDETELLA PERTUSSIS) (S09);Kołobrzeg, ul. Jedności Narodowej 86/88;110.0
ALP IZOENZYM ŁOŻYSKOWY;Raciąż, ul. Mławska 15;176.0
PANEL ALERGENÓW PEDIATRYCZNYCH -20 ALERGENÓW METODĄ POLYCHECK (L91);Czaplinek, ul. Wałecka 54a;239.0
BAKLOFEN;Kutno, ul. Sowińskiego 1;239.0
PERAZYNA;Poznań, ul. 28 czerwca 1956 r.  194;210.0
P/C PRZECIW WIRUSOM COXSACKIE (METODA NEUTRALIZACJI);Kosakowo, ul. Derdowskiego73/7;318.0
ZALEPLON;Gdańsk, ul. Stryjewskiego 27;210.0
SEROTONINA W OSOCZU (O33);Piaseczno, ul. Wojska Polskiego 30 lok 2;202.0
P/C PRZECIW HANTAWIRUSOM IGM;Bibice, ul. Warszawska 178;257.0
ORZECH ZIEMNY (F13) - IGE SWOISTE (L91);Gołdap, ul. Słoneczna 9;61.0
GENETYCZNY PANEL DIAGNOSTYCZNY - OKULISTYKA, METODA NGS (BADANIE Z KONSULTACJĄ);Szczecin, ul. Bolesława Śmiałego 33;3990.0
RASP F 4 ASPERGILLUS FUMIGATUS (M-221 ) IGE SWOISTE (L91);Warszawa, ul. Karolkowa 28;61.0
DORSZ (F3) - IGE SWOISTE (L91);Ełk, ul. Kościuszki 1;61.0
KOFEINA - BADANIE JAKOŚCIOWE W MOCZU;Zgorzelec, ul. Wyspiańskiego 53A;167.0
MINTAJ (F413) - IGE SWOISTE (L91);Koszalin, ul. Fałata 11e;61.0
MUCOR RACEMOSUS (M 4) - IGE SWOISTE (L91);Szczecin, ul. Bolesława Śmiałego 33;61.0
P/C PRZECIW JAJNIKOWE;Gdynia, ul. Władysława IV 47;163.0
GENETYCZNY PANEL DIAGNOSTYCZNY - CHOROBY NEREK, METODA NGS (BADANIE Z KONSULTACJĄ);Bogatynia, ul. Pocztowa 13;3990.0
RCOR A 8 LTP ORZECH LASKOWY (F-425) IGE SWOISTE (L91);Jaworzno, ul. Grunwaldzka 47;61.0
KARBAMAZEPINA MET. HPLC (T33);Warszawa, ul. Mołdawska 7;161.0
TRAMADOL - BADANIE JAKOŚCIOWE W MOCZU;Płock, ul. Piłsudskiego 35;183.0
CHARGE ZESPÓŁ- ANALIZA WYBRANYCH REGIONÓW GENU CHD7;Jaworzno, ul. Grunwaldzka 47;947.0
O-DEMETYLOWENLAFAKSYNA;Szczecin, ul. Felczaka 8B;210.0
PANEL ALERGENÓW WZIEWNYCH III  - 10 ALERGENÓW METODĄ POLYCHECK (L91);Zamość, ul. Piłsudskiego 35;165.0
P/C PRZECIW MYCOPLASMA PNEUMONIAE IGM - MET WESTERN BLOT;Włocławek, ul. Kaliska 10;303.0
P/C PRZECIW WIRUSOWI SARS COV-2 W KLASIE IGG MET. ILOŚCIOWĄ;Węgorzyno, ul. Grunwaldzka 27a;118.0
FLUNITRAZEPAM;Warszawa, ul. Belgradzka 4 lok 5U;210.0
IZOENZYMY KINAZY KREATYNOWEJ MAKRO-CK;Słupsk, ul. Wojska Poskiego 53;193.0
ŻÓŁTKO JAJKA (F75) - IGE SWOISTE (L91);Łódź, ul. Pasjonistów 15;61.0
P/C PRZECIW OSKÓRKOWYM GRZEBIENIOM NERKOWYM;Zamość, ul. Jana Pawła II 8;119.0
P/C PRZECIW JĄDROM NEURONÓW (ANTY-YO);Lublin, ul. Relaksowa 28;153.0
P/C PRZECIW TRANSGLUTAMINAZIE TKANKOWEJ W KLASIE IGG (TTG IGG);Warszawa, ul. Światowida 14;142.0
CZAS KAOLINOWO - KEFALINOWY (APTT) (G11);Legionowo, ul. Jagiellońska 18;26.0
BETA - CROSS LAPS - MARKER RESORPCJI KOSTNEJ;Olsztyn, ul. Janowicza 3i;156.0
ALBUMINA W SUROWICY (I09);Połaniec, ul. Ruszczańska 1;14.0
KOMOSA BIAŁA (W10) - IGE SWOISTE (L91);Stepnica, ul. Tęczowa 3;61.0
BENZODIAZEPINY W MOCZU (P79);Zamość, ul. Jana Pawła II 8;64.0
TEMAZEPAM;Wrocław, ul. Nowodworska 91A;210.0
RUBELLA (RÓŻYCZKA) - AWIDNOŚĆ P/C IGG;Warszawa, ul. Stawki 4B;456.0
RFEL D 1 KOT (E-94) IGE SWOISTE (L91);Białystok, ul. Kolejowa 12B;57.0
HEV - P/C IGG MET. WESTERN - BLOT;Warszawa, ul. Kondratowicza 27b;318.0
NITROWANA TYROZYNA;Bełżyce, ul. Lubelska 90;230.0
DEMOKSEPAM;Bydgoszcz, ul. Lenartowicza 33-35;210.0
17 - HYDROKSYPREGNENOLON (L81);Świdwin, ul. Gagarina 71;519.0
ODWROTNA TRÓJJODOTYRONINA (O53);Bielsk Podlaski, ul. Mickiewicza 58 lok. 1A;208.0
PAPP-A (CIAŻOWE OSOCZOWE BIAŁKO A) (I84);Szczecinek, ul. Myśliwska 12 lok. 2;112.0
KOPROPORFIRYNY W MOCZU ZE ZBIÓRKI DOBOWEJ (M27);Krosno, ul. Lniarska 12;123.0
BRUCELLOZA - ODCZYN AGLUTYNACYJNY WRIGHTA;Warszawa, al. Jerozolimskie 121/123;90.0
RAPI G 1.01 PR-10 SELER (F-417) IGE SWOISTE (L91);Wrocław, ul. Stalowa 50;61.0
DRONEDARON;Pułtusk, ul. T. Kwiatkowskiego 19;210.0
P/C PRZECIWKO SWOISTEJ KINAZIE TYROZYNY (MUSK);Łódź, ul. Wysoka 10/14;287.0
KURZ DOMOWY (H-1) - IGE SWOISTE (L91);Rzeszów, ul. Kwiatkowskiego 46A;63.0
FLUOKSETYNA;Katowice, ul. Ściegiennego 49C;184.0
C - TELOPEPTYD I KOLAGENU - ICTP;Sokołów Podlaski, ul. Piłsudskiego 10/3U;219.0
CEFACLOR (C7) - IGE SWOISTE (L91);Lublin, ul. Relaksowa 28;63.0
TUŃCZYK (F40) - IGE SWOISTE (L91);Szczecin, ul. Energetyków 2;61.0
RCAN F 1 PIES (E-101) IGE SWOISTE (L91);Warszawa, ul. Głębocka 88 lok 1U;61.0
NPHL P 4 TYMOTKA ŁĄKOWA (G-208) IGE SWOISTE (L91);Sokołów Małopolski, ul. Rynek 42;63.0
GLUKURONID ETYLU W MOCZU MET. LC-MS;Strzegom, ul. Dąbrowskiego 29/4;132.0
MEDAZEPAM;Warszawa, ul. Stępińska 19/25;210.0
P/C PRZECIW CHLAMYDIA TRACHOMATIS, PNEUMONIAE I PSITTACI – IGG – TEST POTWIERDZENIA (WESTERN BLOT);Warszawa, ul. Św. Bonifacego 70;399.0
KARBAMAZEPINA (T33);Sierpc, ul. Narutowicza 7;109.0
ZŁOTO W SUROWICY;Warszawa, ul. Przy Agorze 26;176.0
BAR W MOCZU;Grajewo, ul. Wiktorowo 36;179.0
PRZECIWCIAŁA PRZECIWKO ERYTROPOETYNIE;Mysłowice, ul. Ziętka 61C;263.0
TESTOSTERON (O41);Nowy Dwór Gdański, ul. Dworcowa 11;39.0
TYREOTROPINA (TSH)  TRZECIEJ GENERACJI (L69);Gdańsk, ul. Jaśkowa Dolina 132;29.0
ALKOHOL METYLOWY (P65);Wrocław, ul. Stalowa 50;186.0
ANTYMON;Modlnica, ul. Jurajska 5;305.0
GLUKOZA W MOCZU (A15);Gdynia, ul. Karpińskiego 2;18.0
11- DEZOKSYKORTYKOSTERON (K49);Skarżysko-Kamienna, ul. Klonowa 11;773.0
WYKRYWANIE DNA WIRUSA CMV METODĄ REAL TIME-PCR (F26);Lublin, ul. Krańcowa 107 lok 8;179.0
KOKAINA  - TEST NARKOTYCZNY W MOCZU (P45);Lublin, ul. Krańcowa 107 lok 8;62.0
P/C PRZECIW TITINIE, MGT-30;Olkusz, pl. Konstytucji 3 maja 2E;248.0
WYKRYWANIE DNA CANDIDA ALBICANS, C. GLABRATA, C. KRUSEI METODĄ REAL TIME-PCR;Orneta, ul. Wodna 1/6;190.0
GRYPA A - P/C IGA (F74);Warszawa, ul. Głębocka 88 lok 1U;161.0
SARS-COV-2 - OCENA ODPOWIEDZI KOMÓRKOWEJ (TEST IGRA);Kartuzy, ul. Jeziorna 6;361.0
WARZYWA MIX 2 (FX14) - IGE SWOISTE (L91);Warszawa, ul. Cybernetyki 17 lok. U9;69.0
